Sample	Replicate	Genotype	Treatment	Section of Root	D_M_WW	S_n	rep_n	combined	Groups	treatment_section	Color_grp	genotype_color	section_color
DBD3	4	B73	Dry	3	D	S3	rep4	B73_D_S3_rep4	B73_D_S3	D_S3	red	#B1ABD5	green
DBD4	4	B73	Dry	4	D	S4	rep4	B73_D_S4_rep4	B73_D_S4	D_S4	red	#BEBADC	blue
DBD5	4	B73	Dry	5	D	S5	rep4	B73_D_S5_rep4	B73_D_S5	D_S5	red	#CECBE5	violet
DBM1	4	B73	Moderate	1	M	S1	rep4	B73_M_S1_rep4	B73_M_S1	M_S1	red	#7A6F9B	red
DBM3	4	B73	Moderate	3	M	S3	rep4	B73_M_S3_rep4	B73_M_S3	M_S3	red	#B1ABD5	green
DBM4	4	B73	Moderate	4	M	S4	rep4	B73_M_S4_rep4	B73_M_S4	M_S4	red	#BEBADC	blue
DBM5	4	B73	Moderate	5	M	S5	rep4	B73_M_S5_rep4	B73_M_S5	M_S5	red	#CECBE5	violet
DBW1	4	B73	Well-watered	1	WW	S1	rep4	B73_WW_S1_rep4	B73_WW_S1	WW_S1	red	#7A6F9B	red
DBW2	4	B73	Well-watered	2	WW	S2	rep4	B73_WW_S2_rep4	B73_WW_S2	WW_S2	red	#8983BD	yellow
DBW3	4	B73	Well-watered	3	WW	S3	rep4	B73_WW_S3_rep4	B73_WW_S3	WW_S3	red	#B1ABD5	green
DBW4	4	B73	Well-watered	4	WW	S4	rep4	B73_WW_S4_rep4	B73_WW_S4	WW_S4	red	#BEBADC	blue
DBW5	4	B73	Well-watered	5	WW	S5	rep4	B73_WW_S5_rep4	B73_WW_S5	WW_S5	red	#CECBE5	violet
DFD1	4	FR697	Dry	1	D	S1	rep4	FR697_D_S1_rep4	FR697_D_S1	D_S1	green	#D4E3C4	red
DFD2	4	FR697	Dry	2	D	S2	rep4	FR697_D_S2_rep4	FR697_D_S2	D_S2	green	#CCF5AC	yellow
DFD3	4	FR697	Dry	3	D	S3	rep4	FR697_D_S3_rep4	FR697_D_S3	D_S3	green	#99B981	green
DFD4	4	FR697	Dry	4	D	S4	rep4	FR697_D_S4_rep4	FR697_D_S4	D_S4	green	#7E996A	blue
DFD5	4	FR697	Dry	5	D	S5	rep4	FR697_D_S5_rep4	FR697_D_S5	D_S5	green	#697E57	violet
DFM1	4	FR697	Moderate	1	M	S1	rep4	FR697_M_S1_rep4	FR697_M_S1	M_S1	green	#D4E3C4	red
DFM2	4	FR697	Moderate	2	M	S2	rep4	FR697_M_S2_rep4	FR697_M_S2	M_S2	green	#CCF5AC	yellow
DFM3	4	FR697	Moderate	3	M	S3	rep4	FR697_M_S3_rep4	FR697_M_S3	M_S3	green	#99B981	green
DFM4	4	FR697	Moderate	4	M	S4	rep4	FR697_M_S4_rep4	FR697_M_S4	M_S4	green	#7E996A	blue
DFM5	4	FR697	Moderate	5	M	S5	rep4	FR697_M_S5_rep4	FR697_M_S5	M_S5	green	#697E57	violet
DFW1	4	FR697	Well-watered	1	WW	S1	rep4	FR697_WW_S1_rep4	FR697_WW_S1	WW_S1	green	#D4E3C4	red
DFW2	4	FR697	Well-watered	2	WW	S2	rep4	FR697_WW_S2_rep4	FR697_WW_S2	WW_S2	green	#CCF5AC	yellow
DFW3	4	FR697	Well-watered	3	WW	S3	rep4	FR697_WW_S3_rep4	FR697_WW_S3	WW_S3	green	#99B981	green
DFW4	4	FR697	Well-watered	4	WW	S4	rep4	FR697_WW_S4_rep4	FR697_WW_S4	WW_S4	green	#7E996A	blue
DFW5	4	FR697	Well-watered	5	WW	S5	rep4	FR697_WW_S5_rep4	FR697_WW_S5	WW_S5	green	#697E57	violet
